loan_id,customer_id,loan_type,loan_amount,interest_rate,loan_status,loan_date
L400444,C101448,Education,160626.54,14.96,Rejected,11-07-2025
L400445,C102700,Education,991196.56,7.45,Rejected,06-10-2024
L400446,C103006,Home,933766.65,13.91,Rejected,21-04-2026
L400447,C104317,Auto,1642109.51,11.01,Closed,31-05-2026
L400448,C103369,Personal,220345.7,9.22,Defaulted,12-05-2024
L400449,C103427,Business,311642.95,7.46,Active,13-06-2025
L400450,C102842,Auto,92586.22,8.81,Active,01-12-2025
L400451,C104950,Business,714592.03,13.79,Active,19-10-2025
L400452,C104713,Auto,601633.4,7.88,Closed,03-04-2025
L400453,C104448,Business,801850.4,13.33,Active,01-05-2026
L400454,C100174,Home,289369.56,7.55,Closed,07-01-2025
L400455,C102602,Home,693241.56,8.28,Active,03-04-2025
L400456,C100997,Auto,521329.75,13.49,Closed,19-02-2023
L400457,C103370,Home,416884.28,12.57,Closed,13-05-2024
L400458,C101606,Home,572833.75,15.14,Closed,07-02-2024
L400459,C104135,Auto,461928.32,10.57,Rejected,08-12-2024
L400460,C101145,Education,367939.83,12.32,Active,08-11-2024
L400461,C103348,Home,827230.66,13.53,Active,01-06-2026
L400462,C101419,Auto,142906.07,11.99,Active,07-06-2026
L400463,C102869,Education,86556.05,12.74,Closed,13-12-2023
L400464,C100362,Education,88374.46,15.12,Closed,11-09-2025
L400465,C101614,Personal,876355.86,8.17,Closed,07-10-2025
L400466,C103737,Auto,1129565.45,9.49,Defaulted,27-12-2025
L400467,C104343,Home,321809.89,9.94,Rejected,11-07-2024
L400468,C104916,Home,278713.75,12.5,Active,25-05-2023
L400469,C103725,Personal,929881.22,7.44,Active,06-12-2023
L400470,C103526,Personal,411108.29,11.34,Closed,06-10-2024
L400471,C102223,Home,169355.89,9.08,Active,06-11-2023
L400472,C102754,Education,757230.71,15.49,Rejected,03-05-2026
L400473,C102358,Auto,939311.78,9.78,Defaulted,25-10-2023
L400474,C100758,Business,832201.8,9.8,Rejected,04-10-2023
L400475,C101409,Education,383610.02,14.73,Active,17-11-2024
L400476,C103954,Personal,202712.84,11.36,Closed,05-04-2023
L400477,C104984,Personal,394444.1,11.26,Closed,30-12-2024
L400478,C103823,Personal,393814.38,14.25,Active,25-05-2024
L400479,C101844,Business,1704786.43,11.23,Rejected,14-08-2023
L400480,C103131,Education,113179.75,8.69,Active,01-11-2025
L400481,C104327,Education,475865.01,14.9,Closed,24-12-2024
L400482,C100919,Auto,117677.06,11.52,Closed,18-04-2023
L400483,C103958,Business,375530.55,9.12,Active,06-06-2025
L400484,C101495,Business,924396.75,11.05,Closed,03-01-2024
L400485,C100361,Personal,390702.64,14.69,Active,30-08-2023
L400486,C101564,Personal,405950.37,11.18,Closed,30-09-2024
L400487,C101324,Education,612440.76,11.15,Active,14-10-2025
L400488,C103390,Home,418188.45,12.09,Active,02-07-2024
L400489,C102064,Education,155256.47,13.15,Active,09-05-2024
L400490,C102837,Home,1952317.39,11.94,Closed,17-03-2025
L400491,C100692,Home,1013550.38,8.83,Active,20-05-2025
L400492,C103691,Home,616234.1,12.24,Closed,08-08-2025
L400493,C101725,Personal,242003.49,13.5,Active,28-05-2024
L400494,C100258,Auto,1114872.59,13.02,Rejected,22-05-2024
L400495,C102507,Education,600086.81,15.26,Active,20-07-2024
L400496,C100689,Home,113752.19,15.29,Closed,13-09-2023
L400497,C100159,Personal,537608.61,7.93,Active,29-06-2025
L400498,C103526,Auto,1015241.55,10.11,Active,11-01-2025
L400499,C104404,Home,2206958.61,9.41,Active,06-07-2023
L400500,C102728,Business,181445.52,13.87,Active,08-11-2025
L400501,C104510,Home,230340.05,12.48,Active,28-09-2025
L400502,C103537,Home,1647361.99,14.03,Active,20-01-2026
L400503,C104516,Auto,420427.02,10.99,Rejected,21-11-2025
L400504,C101352,Personal,345096.17,13.89,Active,13-06-2024
L400505,C100605,Education,883868.58,8.02,Active,25-10-2024
L400506,C102842,Business,190588.13,9.65,Active,11-07-2023
L400507,C104216,Auto,1607068.09,10.01,Active,16-11-2024
L400508,C101429,Auto,2847912.76,13.38,Active,17-04-2026
L400509,C101827,Business,333548.19,10.43,Active,03-03-2025
L400510,C100612,Personal,876605.27,10.1,Active,17-07-2023
L400511,C103974,Personal,298605.4,14.74,Active,24-06-2026
L400512,C101515,Business,243828.12,11.36,Closed,06-11-2025
L400513,C101938,Personal,180415.79,14.48,Active,30-11-2024
L400514,C104976,Personal,542009.03,8.94,Closed,09-11-2024
L400515,C104563,Personal,400601.31,8.04,Active,07-11-2024
L400516,C102468,Home,98973.03,10.66,Closed,03-04-2025
L400517,C102430,Personal,720906.97,9.4,Active,25-07-2023
L400518,C103095,Personal,419792.7,13.05,Defaulted,16-04-2023
L400519,C101601,Personal,894119.48,12.85,Active,09-01-2025
L400520,C104328,Personal,363193.24,10.2,Defaulted,04-12-2025
L400521,C103393,Home,479379.18,11.85,Closed,02-04-2023
L400522,C103300,Home,190400.22,11.91,Closed,29-07-2025
L400523,C103824,Auto,939201.44,14.21,Rejected,12-09-2024
L400524,C101551,Auto,335571.17,15.47,Closed,23-04-2024
L400525,C102308,Business,1408162.28,14.03,Closed,23-10-2023
L400526,C104325,Education,338144.7,7.84,Active,16-12-2025
L400527,C101647,Business,499878.3,9.43,Closed,29-08-2023
L400528,C104113,Personal,316499.47,11.47,Active,18-07-2024
L400529,C102916,Education,537593.94,10.66,Active,12-05-2024
L400530,C101217,Personal,727791.57,11.14,Active,30-07-2023
L400531,C104684,Education,342674.61,9.54,Active,27-06-2024
L400532,C101263,Home,685553.75,15.29,Closed,04-06-2026
L400533,C100035,Auto,831608.82,12.56,Active,16-04-2025
L400534,C100262,Auto,886635.58,12.62,Closed,19-04-2025
L400535,C104913,Auto,1336396.24,14.86,Active,09-12-2025
L400536,C103336,Personal,293499.64,14.67,Closed,17-12-2023
L400537,C100878,Personal,249674.33,10.48,Active,16-09-2023
L400538,C102187,Education,550814.06,15.13,Active,12-05-2025
L400539,C101853,Education,599612.33,13.92,Defaulted,18-04-2023
L400540,C101109,Personal,1290830.07,11.05,Active,01-12-2024
L400541,C104224,Auto,915955.25,8.78,Closed,22-11-2025
L400542,C102959,Home,453607.98,9.38,Active,10-04-2023
L400543,C101390,Personal,450987.72,9.49,Active,12-10-2023
L400544,C102531,Personal,598549.21,8.28,Active,04-01-2024
L400545,C103186,Education,1541002.13,13.48,Rejected,20-06-2025
L400546,C103067,Home,1311027.23,8.29,Defaulted,09-02-2023
L400547,C103919,Personal,856856.9,8.13,Active,04-11-2023
L400548,C102076,Auto,463049.37,9.28,Rejected,16-06-2024
L400549,C102090,Home,77682.27,9.24,Rejected,29-06-2026
L400550,C102316,Business,476453.8,9.06,Closed,31-08-2024
L400551,C102290,Education,1836198.05,14.32,Defaulted,23-10-2023
L400552,C104473,Business,893693.9,10.78,Closed,02-03-2026
L400553,C100658,Personal,671763.05,7.57,Active,13-09-2024
L400554,C104907,Auto,2260869.18,11,Closed,09-01-2026
L400555,C102366,Personal,816664.44,13.47,Active,10-09-2024
L400556,C102814,Personal,360264.63,8.37,Rejected,19-01-2024
L400557,C102201,Personal,774094.43,9.83,Active,13-08-2023
L400558,C103331,Personal,253340.67,13.94,Closed,19-06-2024
L400559,C100245,Personal,291852.57,13.95,Active,08-08-2023
L400560,C100325,Education,252144.42,13.59,Defaulted,12-02-2024
L400561,C102755,Home,1385575.58,9.51,Rejected,22-03-2024
L400562,C103154,Personal,2460869.44,9.34,Active,25-04-2026
L400563,C101038,Personal,244538.13,12.56,Active,07-01-2025
L400564,C100188,Personal,1016967.53,10.24,Closed,14-01-2026
L400565,C102596,Home,840102.22,13.36,Rejected,12-10-2024
L400566,C101781,Auto,295893.98,10.29,Active,04-09-2025
L400567,C102606,Personal,273386.58,10.3,Defaulted,16-11-2025
L400568,C103650,Home,834814.18,7.17,Active,20-03-2026
L400569,C103120,Auto,1006620.42,8.53,Active,05-03-2026
L400570,C104574,Auto,275219.97,9.01,Active,21-07-2024
L400571,C102828,Auto,238425.37,7.27,Active,03-04-2024
L400572,C101656,Business,178446.13,9.76,Rejected,07-04-2026
L400573,C104806,Personal,349630.12,7.82,Active,01-08-2025
L400574,C103182,Home,503792.94,11.18,Active,10-12-2025
L400575,C104528,Home,1577602.09,12.89,Closed,13-10-2023
L400576,C101149,Home,516789.45,9.92,Active,10-12-2024
L400577,C101140,Education,348397.46,8.56,Closed,07-01-2025
L400578,C104881,Business,836146.21,10.21,Active,05-04-2024
L400579,C102229,Home,262767.67,7.78,Active,04-08-2024
L400580,C103188,Personal,596074.46,7.03,Active,08-12-2025
L400581,C102571,Personal,492774.8,15.18,Active,17-05-2023
L400582,C104444,Business,413938,10.22,Closed,02-08-2024
L400583,C102486,Auto,300360.16,10.93,Active,19-10-2025
L400584,C103413,Education,721866.78,11.41,Active,12-10-2025
L400585,C103778,Business,1470893.15,11.85,Closed,26-03-2024
L400586,C101098,Personal,300470.61,9.05,Active,31-03-2025
L400587,C103276,Home,1000901.27,7.09,Closed,16-12-2025
L400588,C100569,Personal,214446.36,14.9,Active,14-01-2024
L400589,C101749,Home,322436.4,11.86,Closed,04-12-2023
L400590,C104566,Education,663027.26,7.42,Rejected,22-05-2024
L400591,C102010,Auto,770271.83,13.44,Rejected,29-09-2023
L400592,C100104,Personal,2640428.21,9.44,Rejected,21-08-2025
L400593,C101690,Business,564597.61,9.64,Closed,03-10-2025
L400594,C104486,Home,510506.13,10.96,Rejected,04-12-2023
L400595,C103113,Personal,415509.58,14.09,Rejected,21-10-2024
L400596,C104680,Auto,3450158.37,9.25,Active,01-02-2023
L400597,C100099,Personal,572369.75,7.28,Closed,19-02-2024
L400598,C100899,Education,1435567.25,8.06,Closed,29-06-2026
L400599,C104258,Auto,150284.01,12.49,Active,27-03-2025
L400600,C101782,Auto,423315.93,8.31,Active,16-11-2025
L400601,C101780,Home,194229.98,12.35,Active,27-03-2024
L400602,C101113,Auto,785379.9,15.4,Active,03-05-2023
L400603,C102330,Business,346267.9,9.38,Active,18-12-2025
L400604,C101063,Personal,274931.84,12.16,Active,22-11-2025
L400605,C104555,Home,267215.17,10.28,Active,01-05-2024
L400606,C101116,Education,619690.66,7.71,Closed,27-11-2024
L400607,C104506,Personal,530275.54,9.16,Active,16-07-2024
L400608,C102700,Personal,621361.93,14.52,Closed,22-09-2024
L400609,C104982,Personal,389532.47,13.15,Rejected,20-06-2024
L400610,C103705,Auto,1591998.24,7.07,Active,15-02-2023
L400611,C103705,Business,583947.37,11.61,Active,26-11-2023
L400612,C100614,Personal,1610887.28,11.36,Active,24-09-2025
L400613,C103870,Personal,460881.23,7.37,Active,25-10-2025
L400614,C100425,Business,460074.61,8.8,Closed,17-08-2025
L400615,C103845,Home,213864.35,7.94,Closed,23-04-2023
L400616,C101279,Business,748637.23,7.31,Rejected,02-02-2023
L400617,C104952,Personal,403866.14,8.89,Closed,02-01-2026
L400618,C101758,Home,760973.14,8.76,Closed,21-10-2023
L400619,C100778,Education,383523.95,13.52,Defaulted,16-02-2023
L400620,C100593,Personal,659857.05,11.74,Active,18-01-2025
L400621,C103589,Auto,318431.1,9.95,Active,25-04-2023
L400622,C100596,Personal,361906.96,14.83,Closed,21-08-2025
L400623,C104913,Auto,980497.52,10.75,Active,23-05-2025
L400624,C102572,Personal,1397601.98,8.92,Active,16-09-2023
L400625,C102616,Auto,1122574.58,12.71,Rejected,28-03-2024
L400626,C103786,Home,380426.56,11.18,Defaulted,18-03-2024
L400627,C100787,Personal,310939.68,9.47,Rejected,21-06-2024
L400628,C101870,Education,150148.39,15.01,Active,27-02-2023
L400629,C101743,Personal,1539812.99,13.38,Active,03-11-2023
L400630,C101639,Personal,556525.63,8.73,Active,08-01-2025
L400631,C102456,Auto,1203767.47,9.48,Rejected,13-11-2025
L400632,C104240,Home,1247569.61,9.42,Active,24-05-2024
L400633,C100513,Auto,803841.49,14.96,Active,08-04-2023
L400634,C100448,Education,948126.16,7.41,Active,12-11-2025
L400635,C101672,Personal,1516140.22,13.03,Active,19-04-2024
L400636,C100378,Home,664442.87,15.23,Active,18-12-2025
L400637,C102597,Education,309926.46,13.76,Closed,28-03-2026
L400638,C103019,Personal,820924.1,13.61,Active,25-04-2024
L400639,C103994,Auto,705883.44,10.5,Closed,15-06-2026
L400640,C103869,Personal,775535.66,13.59,Active,16-05-2026
L400641,C102259,Home,398556.55,9.51,Active,28-10-2025
L400642,C102998,Home,192126.31,13.88,Closed,22-06-2025
L400643,C104981,Auto,1006077.37,10.93,Closed,25-10-2025
L400644,C101589,Personal,1154380.19,11.12,Closed,05-08-2025
L400645,C102538,Personal,185502.4,9.56,Rejected,10-02-2026
L400646,C103301,Business,1986596.98,12.12,Closed,02-01-2024
L400647,C101259,Auto,528448.26,13.75,Rejected,04-06-2024
L400648,C101215,Home,319343.81,8.16,Active,23-08-2025
L400649,C101163,Personal,244042.85,12.14,Closed,28-04-2023
L400650,C104272,Home,340485.72,12.28,Closed,11-04-2023
L400651,C101937,Home,2099414.65,8.88,Active,19-01-2026
L400652,C103336,Personal,526640.01,9.07,Defaulted,02-09-2025
L400653,C100589,Auto,743179.38,11,Active,26-11-2025
L400654,C103651,Personal,741185.52,9.94,Active,16-08-2023
L400655,C103431,Business,2192552.41,7.92,Active,27-03-2023
L400656,C104190,Home,891173.95,9.43,Active,18-04-2023
L400657,C102470,Business,374678.26,13.1,Active,29-04-2024
L400658,C100550,Education,400644.7,9.52,Active,23-10-2025
L400659,C100870,Auto,210261.64,7.32,Closed,25-06-2024
L400660,C102927,Auto,579751.05,10.33,Closed,10-06-2026
L400661,C103511,Business,209503.78,7.43,Defaulted,19-07-2025
L400662,C100423,Personal,946051.16,9.45,Active,24-02-2024
L400663,C102431,Home,475811.61,10.8,Closed,05-12-2025
L400664,C103404,Education,505208.42,7.92,Closed,18-12-2023
L400665,C103085,Home,653336.01,11.33,Closed,19-03-2024
L400666,C102596,Auto,1982107.84,8.46,Closed,04-04-2025
L400667,C101611,Education,60960.46,8.95,Closed,27-06-2024
L400668,C101304,Auto,451795,8.41,Active,10-07-2023
L400669,C101217,Personal,917200.28,8.31,Rejected,22-12-2025
L400670,C100604,Auto,368138.99,14.08,Active,01-09-2023
L400671,C104297,Business,332128.26,11.18,Defaulted,13-06-2026
L400672,C103666,Personal,224811.04,13.34,Active,31-08-2025
L400673,C100880,Personal,230404.19,12.13,Closed,09-07-2023
L400674,C101380,Personal,1984259.86,7.36,Rejected,01-05-2026
L400675,C102536,Auto,894270.64,8.42,Active,13-01-2026
L400676,C100730,Education,355348.91,9.33,Closed,25-06-2023
L400677,C102022,Auto,1161810.25,11.37,Defaulted,12-10-2025
L400678,C104770,Auto,528076.68,9.29,Active,19-02-2025
L400679,C103823,Auto,795746.26,14.61,Active,09-10-2025
L400680,C104889,Business,439511.7,8.14,Rejected,06-02-2026
L400681,C102902,Personal,1443718.53,10.38,Active,27-08-2023
L400682,C102758,Personal,891505,13.58,Rejected,02-03-2025
L400683,C104176,Personal,262920.97,14.45,Active,10-06-2026
L400684,C101882,Auto,105602.07,7.79,Closed,09-02-2025
L400685,C104821,Personal,888877.71,13.32,Defaulted,24-04-2026
L400686,C104246,Personal,898959.46,12.12,Closed,06-03-2023
L400687,C100306,Personal,1042918.66,8.62,Active,22-05-2026
L400688,C100648,Business,1307373.42,9.23,Rejected,13-10-2024
L400689,C103289,Auto,311452.81,14.32,Active,16-10-2023
L400690,C100442,Home,1024475.97,7.2,Active,18-11-2023
L400691,C103678,Personal,773632.49,13.1,Active,05-09-2025
L400692,C102794,Personal,333210.31,10.99,Closed,22-01-2024
L400693,C101348,Education,414195.72,7.5,Active,13-02-2026
L400694,C100089,Personal,612217.36,12.59,Closed,15-08-2024
L400695,C103131,Auto,256950.96,7.79,Rejected,16-08-2023
L400696,C103256,Business,248810.93,9.31,Closed,02-11-2023
L400697,C100055,Personal,420766.78,15.02,Active,18-04-2024
L400698,C103070,Personal,244810.29,13.27,Rejected,22-04-2023
L400699,C104595,Home,502851.23,12.46,Active,22-02-2023
L400700,C101210,Business,733729.43,13.84,Active,27-01-2023
L400701,C102909,Business,576034.11,14.42,Active,31-07-2024
L400702,C103268,Personal,115160.64,7.4,Active,07-03-2025
L400703,C100528,Personal,691610.08,10.85,Active,04-01-2025
L400704,C104303,Personal,798658.93,8.45,Active,05-12-2025
L400705,C102122,Personal,331305.25,13.5,Closed,29-06-2026
L400706,C102402,Business,367494.9,14.13,Active,03-09-2024
L400707,C103336,Personal,198276.45,9.78,Active,26-12-2025
L400708,C104823,Education,838571.89,10.5,Rejected,16-02-2023
L400709,C101225,Personal,490030.79,10.41,Closed,09-03-2024
L400710,C104907,Home,365727.12,10.49,Rejected,06-09-2023
L400711,C102036,Education,446306.61,14.29,Active,17-03-2026
L400712,C101316,Education,262823.53,9.4,Active,25-06-2024
L400713,C100175,Home,154096.94,10.37,Defaulted,19-11-2024
L400714,C100921,Auto,147054.76,13.62,Closed,16-12-2023
L400715,C103644,Personal,259542.51,8.56,Closed,08-10-2023
L400716,C103742,Home,1042866.99,11.49,Rejected,14-07-2023
L400717,C101946,Education,1285579.81,13.98,Active,17-08-2023
L400718,C102634,Auto,201467.46,14.37,Closed,25-04-2023
L400719,C103146,Personal,506130.5,13.33,Closed,23-05-2024
L400720,C100343,Home,473451.32,12.58,Rejected,10-06-2023
L400721,C102374,Personal,1717872.54,10.22,Active,10-04-2024
L400722,C101874,Auto,772618.49,8.03,Closed,05-01-2025
L400723,C101584,Education,131497.18,9.56,Closed,22-01-2026
L400724,C100368,Home,110870.49,7.33,Rejected,07-07-2023
L400725,C100978,Auto,117746.57,8.79,Active,10-11-2024
L400726,C104606,Personal,517031.72,13.75,Closed,02-07-2023
L400727,C100208,Auto,613064.56,8.07,Closed,30-08-2023
L400728,C101692,Home,894156.59,7.4,Active,21-12-2025
L400729,C102012,Home,788325.49,8.75,Closed,03-11-2025
L400730,C100292,Home,570069.72,13.6,Closed,26-08-2023
L400731,C100149,Auto,2879635.91,8.62,Closed,23-04-2024
L400732,C100517,Home,873254.73,7.97,Active,27-07-2025
L400733,C103037,Personal,896883.96,13.34,Active,28-01-2025
L400734,C101652,Business,824341.2,11.12,Active,22-01-2024
L400735,C103411,Personal,730834.96,12.27,Active,16-07-2023
L400736,C100748,Education,238511.48,10.92,Active,27-09-2025
L400737,C100032,Auto,237656.47,9.97,Defaulted,23-07-2023
L400738,C103825,Education,170707.34,15.27,Defaulted,24-06-2024
L400739,C100332,Business,628607.97,9.91,Closed,30-01-2023
L400740,C104924,Home,1309079.58,15,Active,21-04-2024
L400741,C100967,Auto,458748.14,14.8,Closed,13-05-2026
L400742,C104738,Auto,743459.47,13.6,Active,15-11-2025
L400743,C103059,Auto,492825.68,7.44,Active,26-02-2023
L400744,C102890,Personal,247086.93,11.93,Active,13-06-2023
L400745,C100907,Personal,324589.65,7.27,Closed,25-02-2024
L400746,C100275,Education,345943.16,14.57,Closed,02-02-2023
L400747,C103010,Auto,2313523.89,15.01,Active,22-05-2025
L400748,C101812,Home,1082728.23,11.33,Active,09-01-2023
L400749,C101350,Auto,261671.28,10.03,Closed,22-02-2023
L400750,C101620,Education,620105.7,9.4,Active,05-02-2026
L400751,C101658,Business,364841.22,11.95,Active,22-05-2025
L400752,C103026,Home,177894.98,15.05,Closed,01-02-2023
L400753,C103252,Personal,2497241.91,9.83,Defaulted,11-05-2024
L400754,C100612,Auto,1400235.55,10.25,Active,13-10-2025
L400755,C104233,Home,601800.86,8.41,Closed,05-09-2023
L400756,C103273,Business,1296289.33,14.65,Active,27-08-2024
L400757,C104372,Personal,269103.09,10.43,Active,04-05-2024
L400758,C101355,Home,256973.74,12,Active,02-02-2025
L400759,C100459,Business,867744.28,14.84,Rejected,12-05-2026
L400760,C102709,Education,294304.93,7.14,Closed,04-02-2024
L400761,C104822,Auto,774032.02,14.51,Rejected,20-06-2025
L400762,C101879,Home,503806.14,8.95,Active,18-12-2024
L400763,C100110,Home,161721.32,12.94,Defaulted,21-08-2024
L400764,C102931,Business,88245.83,14.16,Rejected,15-09-2024
L400765,C103922,Education,382209.78,12.68,Active,29-05-2025
L400766,C100000,Education,414106.66,14.49,Active,25-01-2026
L400767,C101790,Home,423784.54,14.1,Active,04-02-2023
L400768,C101941,Personal,239806.24,9.23,Active,11-10-2023
L400769,C102820,Business,679953.52,13.45,Active,11-01-2025
L400770,C104862,Personal,761201.85,7.33,Rejected,22-03-2023
L400771,C103727,Home,183306.46,15.05,Active,02-12-2024
L400772,C100982,Personal,523708.14,11.07,Closed,14-07-2025
L400773,C103901,Home,481839.56,9.05,Closed,29-10-2023
L400774,C101102,Home,661053.8,8.94,Active,29-05-2024
L400775,C101192,Auto,257113.97,10.49,Rejected,21-03-2026
L400776,C101140,Personal,110477.29,13.18,Defaulted,28-02-2023
L400777,C100918,Education,663892.13,7.45,Active,24-03-2025
L400778,C102352,Personal,461614.3,10.1,Closed,21-11-2023
L400779,C103256,Education,169358.45,7.23,Rejected,06-06-2024
L400780,C100451,Auto,557079.14,12.01,Active,02-10-2024
L400781,C100928,Personal,3697253.81,13.81,Closed,13-01-2026
L400782,C101424,Auto,347514.95,12.69,Active,04-11-2024
L400783,C103703,Personal,533056.25,8.86,Active,09-01-2026
L400784,C100164,Home,577881.04,12.4,Active,10-02-2024
L400785,C104987,Business,468778.61,14.58,Active,24-06-2024
L400786,C102774,Auto,1018518.49,8.9,Active,31-08-2023
L400787,C100394,Auto,1185046.96,8.41,Active,22-06-2023
L400788,C101824,Auto,138617.54,13.53,Rejected,05-08-2024
L400789,C100105,Personal,536609.97,14.69,Active,19-06-2024
L400790,C102489,Personal,113445.15,11.65,Active,10-01-2024
L400791,C101302,Home,613704.85,11.26,Active,13-11-2025
L400792,C103542,Home,295063.01,12.93,Closed,02-02-2026
L400793,C103679,Education,474925.22,9.66,Active,07-02-2025
L400794,C100642,Education,3190918.1,13.02,Active,08-07-2024
L400795,C104704,Personal,208843.05,8.87,Rejected,05-12-2025
L400796,C103610,Auto,128785.68,7.68,Defaulted,06-12-2025
L400797,C104013,Education,76746.9,10.15,Rejected,22-01-2026
L400798,C101335,Business,821883.63,13.37,Closed,15-12-2023
L400799,C103792,Auto,113625.25,14.16,Closed,03-08-2023
L400800,C103789,Personal,291664.49,11.01,Active,16-05-2026
L400801,C102349,Home,273822.37,12.62,Active,14-02-2023
L400802,C104016,Personal,823565.47,8.08,Closed,26-02-2025
L400803,C101943,Personal,293107.34,13.66,Active,28-08-2023
L400804,C103932,Business,486868.62,15.09,Rejected,26-07-2025
L400805,C102858,Personal,414222.86,8.5,Closed,22-03-2023
L400806,C104831,Personal,424862.75,14.16,Closed,08-07-2025
L400807,C100666,Personal,141396.65,9.15,Closed,30-01-2024
L400808,C101614,Auto,578656.97,12.66,Closed,28-01-2023
L400809,C104067,Home,105800.25,10.93,Rejected,14-03-2024
L400810,C104722,Home,916602.89,13.14,Active,01-05-2026
L400811,C100444,Personal,426911,13.21,Closed,19-09-2025
L400812,C104991,Business,1772035.8,11.04,Closed,23-04-2024
L400813,C103873,Auto,631713.69,10.37,Closed,26-12-2024
L400814,C103969,Education,242660.88,14.63,Active,11-03-2023
L400815,C100572,Home,381348.54,11.11,Closed,14-08-2023
L400816,C102019,Personal,802557.54,13.66,Closed,04-03-2026
L400817,C101035,Personal,854546.4,7.23,Active,26-03-2026
L400818,C102800,Personal,296699.52,7.09,Active,02-01-2023
L400819,C102804,Personal,133083.31,7.13,Active,03-10-2024
L400820,C103299,Personal,629875.69,11.28,Closed,07-10-2025
L400821,C103875,Auto,844813.96,8.37,Active,17-05-2026
L400822,C100640,Home,701225.28,8.73,Closed,24-11-2024
L400823,C103541,Personal,992072.6,8.27,Active,04-11-2025
L400824,C102197,Personal,411060.22,12.65,Active,03-03-2026
L400825,C101566,Home,101768.92,13.92,Active,14-04-2024
L400826,C100472,Personal,602932.32,12.02,Active,01-07-2025
L400827,C101951,Personal,344475.72,10.75,Rejected,12-10-2025
L400828,C104429,Personal,229522.77,14.94,Rejected,01-06-2023
L400829,C102746,Auto,746790.07,9.31,Active,18-03-2024
L400830,C104477,Home,735538.78,12.54,Closed,13-06-2025
L400831,C102118,Home,549805.57,7.53,Closed,12-05-2026
L400832,C100036,Personal,411232.9,13.35,Active,30-01-2026
L400833,C101725,Personal,483108.32,15.15,Closed,12-01-2025
L400834,C104512,Home,597130.42,10.18,Active,27-08-2024
L400835,C103369,Personal,306368.64,8.74,Active,08-01-2026
L400836,C101433,Home,962554.66,9.5,Active,17-03-2026
L400837,C100382,Education,1184956.5,9.78,Closed,17-03-2026
L400838,C104189,Home,641322.71,11.07,Closed,21-11-2025
L400839,C101950,Home,410971.84,7.1,Active,16-05-2025
L400840,C103320,Business,1108915.5,11.08,Active,11-02-2023
L400841,C103500,Personal,1137093.56,13.71,Active,08-11-2024
L400842,C101677,Personal,1450457.41,9.71,Active,01-12-2023
L400843,C102875,Personal,539530.38,14.22,Rejected,13-08-2025
L400844,C100332,Home,551315.04,9.71,Active,23-06-2025
L400845,C104867,Home,323625.62,12.69,Rejected,08-10-2025
L400846,C104846,Personal,825109.93,12.81,Active,22-07-2024
L400847,C101040,Education,645531,14.84,Rejected,08-12-2023
L400848,C104494,Home,798635.52,13.21,Active,09-03-2025
L400849,C104757,Home,115867.74,14.83,Closed,07-09-2025
L400850,C104581,Personal,309919.47,14.83,Active,03-01-2023
L400851,C100125,Business,305767.31,11.02,Closed,22-11-2024
L400852,C100823,Education,387123.55,8.29,Closed,14-04-2023
L400853,C100837,Home,318002.23,14.06,Active,23-06-2024
L400854,C103803,Education,452049.42,11.43,Closed,01-11-2025
L400855,C104629,Personal,222808.88,10.54,Active,12-10-2023
L400856,C101237,Auto,1146631.12,15.15,Closed,09-06-2024
L400857,C101809,Business,142586.65,11.75,Active,25-07-2024
L400858,C101246,Personal,1289978.1,8.19,Closed,21-12-2023
L400859,C103896,Business,124293.11,12.35,Active,16-06-2025
L400860,C104730,Auto,558570.82,11.77,Rejected,19-03-2025
L400861,C100265,Business,223795.79,14.25,Active,15-01-2024
L400862,C102593,Home,1386112.34,15.28,Closed,04-03-2025
L400863,C102271,Home,749682.83,10.61,Active,23-07-2025
L400864,C102618,Home,793817.28,12.54,Active,16-02-2025
L400865,C103954,Business,1667313.15,14.96,Active,09-04-2026
L400866,C102507,Auto,153510.11,8.27,Active,25-09-2024
L400867,C104019,Home,490771.69,7.18,Active,13-07-2023
L400868,C100196,Auto,382845.96,10.7,Active,07-11-2025
L400869,C102290,Personal,393447.03,11.54,Closed,22-02-2025
L400870,C103220,Business,855877.68,8.01,Closed,26-04-2024
L400871,C103153,Education,707590.71,8.14,Active,14-06-2026
L400872,C100121,Business,335891.29,10.61,Active,03-11-2024
L400873,C103270,Personal,506110.45,14.56,Closed,13-01-2025
L400874,C102925,Personal,272972.65,8.3,Closed,16-08-2024
L400875,C100147,Personal,386261.43,13.29,Active,27-11-2024
L400876,C101700,Personal,824022.9,9.14,Active,14-12-2023
L400877,C101121,Personal,455870.94,8.98,Active,31-08-2024
L400878,C103434,Personal,491348.46,14.91,Closed,06-03-2025
L400879,C101673,Personal,927031.52,14.06,Active,05-06-2026
L400880,C104884,Personal,60095.66,12.42,Active,23-02-2024
L400881,C103733,Home,266347.27,7.89,Active,16-12-2025
L400882,C101000,Business,350173.54,11.69,Active,05-02-2024
L400883,C103662,Personal,329610.87,12.8,Active,24-07-2023
L400884,C102788,Home,923547.1,8.75,Closed,21-06-2026
L400885,C102406,Auto,219821.11,9.45,Active,21-09-2025
L400886,C104402,Personal,133412.22,8.69,Closed,26-10-2024
L400887,C101695,Education,65967.65,15.47,Closed,30-05-2025
L400888,C101882,Personal,1598943.3,15.41,Active,05-03-2026
