complaint_id,customer_id,complaint_date,category,resolution_days,satisfaction_score
CP501029,C101664,30-01-2026,App/Internet Banking,5,5
CP501030,C101120,30-04-2026,App/Internet Banking,15,5
CP501031,C100166,04-02-2026,Service,7,2
CP501032,C104449,09-03-2025,Fraud/Security,11,5
CP501033,C102491,03-05-2025,Transaction Issue,13,4
CP501034,C103092,13-06-2025,Loan Issue,13,4
CP501035,C101616,15-03-2026,App/Internet Banking,4,1
CP501036,C100303,25-07-2025,Fraud/Security,4,3
CP501037,C102282,22-01-2025,Card Issue,15,4
CP501038,C100851,19-03-2025,Loan Issue,5,5
CP501039,C101914,26-01-2026,Transaction Issue,7,2
CP501040,C100084,24-06-2026,App/Internet Banking,5,3
CP501041,C101104,04-04-2025,Transaction Issue,14,5
CP501042,C101137,26-07-2025,Service,14,4
CP501043,C101852,19-02-2025,Loan Issue,14,2
CP501044,C102873,24-05-2025,Card Issue,6,3
CP501045,C100658,12-03-2025,Service,3,5
CP501046,C101434,22-05-2025,Card Issue,1,3
CP501047,C102653,24-03-2025,Loan Issue,9,3
CP501048,C102145,21-05-2026,Card Issue,5,5
CP501049,C104817,22-12-2025,Transaction Issue,8,3
CP501050,C100184,16-12-2025,Service,7,4
CP501051,C101454,13-06-2026,App/Internet Banking,13,3
CP501052,C100325,05-04-2025,Transaction Issue,15,5
CP501053,C103716,25-08-2025,Transaction Issue,2,4
CP501054,C100471,08-06-2026,App/Internet Banking,13,3
CP501055,C104841,07-02-2026,Card Issue,8,5
CP501056,C101555,07-03-2025,Loan Issue,5,3
CP501057,C102360,03-10-2025,Service,7,2
CP501058,C102345,18-02-2025,App/Internet Banking,15,4
CP501059,C103105,11-04-2026,Transaction Issue,3,3
CP501060,C100620,19-03-2025,Loan Issue,9,3
CP501061,C100858,24-10-2025,Transaction Issue,11,2
CP501062,C101527,13-06-2026,Fraud/Security,13,4
CP501063,C102100,26-11-2025,App/Internet Banking,4,3
CP501064,C102947,01-03-2026,Loan Issue,10,3
CP501065,C103900,06-04-2026,App/Internet Banking,14,4
CP501066,C103591,20-11-2025,Service,11,4
CP501067,C104317,10-02-2025,Service,5,3
CP501068,C103844,25-10-2025,Service,4,3
CP501069,C104949,26-01-2025,Transaction Issue,13,3
CP501070,C101166,02-07-2025,Service,5,5
CP501071,C100163,28-09-2025,Transaction Issue,10,4
CP501072,C100961,20-11-2025,Service,5,3
CP501073,C103374,17-02-2025,Card Issue,11,3
CP501074,C102571,29-06-2025,Transaction Issue,8,5
CP501075,C103475,02-06-2026,Card Issue,1,3
CP501076,C102368,21-01-2025,Transaction Issue,3,4
CP501077,C101520,02-08-2025,App/Internet Banking,1,2
CP501078,C104314,04-05-2025,Service,15,4
CP501079,C103583,16-04-2025,Loan Issue,8,5
CP501080,C104814,05-09-2025,Card Issue,3,4
CP501081,C100642,24-04-2026,App/Internet Banking,12,5
CP501082,C102732,25-09-2025,Transaction Issue,7,4
CP501083,C104840,28-11-2025,Transaction Issue,11,1
CP501084,C103205,11-04-2025,Loan Issue,11,4
CP501085,C102038,02-05-2026,Loan Issue,7,5
CP501086,C103704,08-03-2025,Service,3,4
CP501087,C102780,05-12-2025,Loan Issue,10,5
CP501088,C104161,05-04-2025,Transaction Issue,1,3
CP501089,C103214,25-02-2025,Loan Issue,7,4
CP501090,C104911,13-02-2026,App/Internet Banking,3,3
CP501091,C104213,29-05-2025,App/Internet Banking,9,5
CP501092,C101965,04-02-2025,Service,9,3
CP501093,C101706,06-01-2026,Loan Issue,5,5
CP501094,C102816,27-09-2025,Loan Issue,2,4
CP501095,C103714,30-06-2026,App/Internet Banking,11,4
CP501096,C104181,22-05-2026,Service,2,1
CP501097,C101960,03-07-2025,Transaction Issue,15,3
CP501098,C103643,18-07-2025,Service,12,2
CP501099,C101951,05-04-2025,App/Internet Banking,1,4
CP501100,C102379,27-08-2025,App/Internet Banking,8,2
CP501101,C100204,15-11-2025,Card Issue,6,3
CP501102,C100769,28-09-2025,Service,2,2
CP501103,C102844,25-04-2026,Service,11,3
CP501104,C102934,11-07-2025,Transaction Issue,1,3
CP501105,C100065,08-10-2025,Service,4,3
CP501106,C104849,31-05-2026,Fraud/Security,7,4
CP501107,C102468,11-03-2026,Card Issue,14,5
CP501108,C103092,06-02-2026,Loan Issue,14,5
CP501109,C102221,06-10-2025,Fraud/Security,2,3
CP501110,C102143,06-07-2025,Loan Issue,9,3
CP501111,C101114,20-03-2025,Card Issue,7,4
CP501112,C100863,09-12-2025,App/Internet Banking,4,4
CP501113,C100715,16-02-2026,Service,6,4
CP501114,C103835,06-05-2025,Card Issue,11,4
CP501115,C102555,28-05-2025,Loan Issue,12,3
CP501116,C103359,13-02-2026,Fraud/Security,2,1
CP501117,C101728,09-03-2026,App/Internet Banking,1,4
CP501118,C101446,25-05-2025,Service,15,2
CP501119,C104061,13-03-2025,Loan Issue,7,1
CP501120,C101221,19-02-2026,Loan Issue,3,4
CP501121,C103949,09-10-2025,Card Issue,8,5
CP501122,C102401,12-06-2025,Transaction Issue,5,4
CP501123,C103466,17-01-2025,Transaction Issue,7,2
CP501124,C101458,24-03-2026,App/Internet Banking,5,3
CP501125,C101190,19-12-2025,Fraud/Security,7,3
CP501126,C104513,07-01-2026,Fraud/Security,1,5
CP501127,C100314,05-03-2025,Card Issue,8,3
CP501128,C100354,01-08-2025,App/Internet Banking,15,5
CP501129,C102478,30-11-2025,Fraud/Security,9,2
CP501130,C104633,06-02-2026,App/Internet Banking,14,4
CP501131,C102499,02-07-2025,Transaction Issue,5,4
CP501132,C102210,01-04-2025,Loan Issue,15,4
CP501133,C104795,27-09-2025,App/Internet Banking,13,5
CP501134,C103293,17-02-2026,Service,2,1
CP501135,C103732,30-06-2026,Service,14,5
CP501136,C103448,16-06-2026,Service,3,5
CP501137,C103032,30-05-2026,Transaction Issue,9,5
CP501138,C104199,29-09-2025,App/Internet Banking,5,4
CP501139,C104292,03-07-2025,Transaction Issue,13,4
CP501140,C104289,09-11-2025,Service,9,3
CP501141,C102640,06-09-2025,Transaction Issue,6,4
CP501142,C102964,03-12-2025,App/Internet Banking,1,4
CP501143,C102144,20-06-2026,Transaction Issue,14,4
CP501144,C100706,11-01-2025,Transaction Issue,11,3
CP501145,C102577,28-04-2026,Loan Issue,6,4
CP501146,C103089,05-07-2025,Card Issue,15,4
CP501147,C103106,19-06-2025,Card Issue,8,5
CP501148,C100829,01-09-2025,Fraud/Security,9,3
CP501149,C101359,14-03-2026,Transaction Issue,11,5
CP501150,C100634,23-01-2026,Card Issue,15,2
CP501151,C102049,29-05-2026,Loan Issue,3,2
CP501152,C102383,11-04-2026,App/Internet Banking,14,2
CP501153,C104229,17-06-2026,Card Issue,11,4
CP501154,C102635,20-04-2025,App/Internet Banking,2,4
CP501155,C103489,06-02-2026,Card Issue,13,2
CP501156,C104641,20-12-2025,Card Issue,13,3
CP501157,C100215,12-05-2025,Fraud/Security,11,4
CP501158,C103956,10-03-2025,Loan Issue,8,4
CP501159,C101219,05-06-2025,Transaction Issue,14,1
CP501160,C100727,19-03-2026,Transaction Issue,9,2
CP501161,C104175,26-07-2025,Transaction Issue,6,2
CP501162,C102207,08-04-2026,Fraud/Security,2,4
CP501163,C100539,30-01-2026,Fraud/Security,7,4
CP501164,C104948,17-04-2026,Transaction Issue,6,3
CP501165,C104091,13-06-2026,App/Internet Banking,8,1
CP501166,C103124,19-12-2025,Loan Issue,14,4
CP501167,C102305,05-02-2026,App/Internet Banking,5,4
CP501168,C103546,02-03-2026,App/Internet Banking,15,5
CP501169,C100570,19-05-2026,App/Internet Banking,9,4
CP501170,C104411,27-03-2026,Loan Issue,7,5
CP501171,C103806,22-05-2026,App/Internet Banking,2,4
CP501172,C102385,21-04-2026,Card Issue,8,4
CP501173,C101584,25-04-2026,Card Issue,3,3
CP501174,C100265,25-05-2026,Transaction Issue,15,4
CP501175,C101772,06-06-2026,App/Internet Banking,11,3
CP501176,C100297,03-02-2025,Card Issue,8,2
CP501177,C104829,20-06-2025,Transaction Issue,9,5
CP501178,C101834,27-01-2026,Service,3,3
CP501179,C101664,24-02-2026,Service,7,3
CP501180,C102955,15-08-2025,Transaction Issue,9,3
CP501181,C104374,14-03-2026,App/Internet Banking,3,3
CP501182,C101527,22-04-2025,Service,5,2
CP501183,C100906,17-02-2026,Card Issue,11,2
CP501184,C104740,08-08-2025,Transaction Issue,5,4
CP501185,C102132,12-09-2025,Fraud/Security,8,3
CP501186,C101970,22-01-2025,Service,4,5
CP501187,C103228,06-10-2025,Service,14,4
CP501188,C101823,02-06-2026,App/Internet Banking,5,5
CP501189,C103625,09-06-2026,App/Internet Banking,8,4
CP501190,C100476,27-10-2025,Loan Issue,5,5
CP501191,C100071,14-04-2026,Loan Issue,3,5
CP501192,C104845,15-08-2025,Service,11,3
CP501193,C104757,05-07-2025,Service,4,5
CP501194,C103406,22-05-2025,Service,13,2
CP501195,C104512,05-09-2025,Loan Issue,6,3
CP501196,C100056,16-03-2025,Service,3,4
CP501197,C100067,04-06-2026,Transaction Issue,1,5
CP501198,C103326,06-01-2026,Service,1,4
CP501199,C101666,09-01-2026,Card Issue,11,5
CP501200,C100083,05-02-2025,Card Issue,14,4
CP501201,C100966,18-03-2025,Service,5,4
CP501202,C100594,20-10-2025,Card Issue,7,4
CP501203,C102726,14-04-2026,App/Internet Banking,9,2
CP501204,C102723,25-02-2026,Card Issue,13,4
CP501205,C100854,06-05-2025,Transaction Issue,13,5
CP501206,C101959,14-04-2026,Fraud/Security,3,4
CP501207,C101170,11-04-2026,Transaction Issue,3,3
CP501208,C102068,24-09-2025,Transaction Issue,6,5
CP501209,C102761,18-06-2025,Loan Issue,10,5
CP501210,C104317,14-05-2026,Loan Issue,9,5
CP501211,C101138,11-06-2026,Loan Issue,9,4
CP501212,C103755,23-04-2025,Transaction Issue,3,5
CP501213,C104928,24-03-2025,Service,8,3
CP501214,C102703,05-02-2026,Service,13,2
CP501215,C101072,06-05-2026,Service,10,4
CP501216,C103584,19-03-2025,App/Internet Banking,6,4
CP501217,C102187,21-03-2025,App/Internet Banking,7,4
CP501218,C101363,20-05-2026,App/Internet Banking,5,3
CP501219,C100674,11-03-2026,Card Issue,7,3
CP501220,C101815,25-12-2025,Service,3,4
CP501221,C103862,17-11-2025,App/Internet Banking,4,5
CP501222,C100267,15-10-2025,App/Internet Banking,3,4
CP501223,C100284,17-11-2025,Loan Issue,13,3
CP501224,C104293,06-01-2025,App/Internet Banking,7,2
CP501225,C104720,22-01-2026,App/Internet Banking,14,5
CP501226,C103131,05-11-2025,Transaction Issue,1,5
CP501227,C103346,15-11-2025,Service,11,2
CP501228,C102119,21-03-2026,Transaction Issue,2,2
CP501229,C103913,05-02-2026,App/Internet Banking,4,5
CP501230,C101110,05-05-2026,Transaction Issue,15,1
CP501231,C101632,22-01-2026,Loan Issue,1,5
CP501232,C100716,10-12-2025,App/Internet Banking,12,3
CP501233,C101446,21-11-2025,Service,12,5
CP501234,C101443,26-08-2025,Fraud/Security,12,3
CP501235,C101041,08-10-2025,Card Issue,14,1
CP501236,C103052,16-07-2025,Service,10,4
CP501237,C103529,21-08-2025,App/Internet Banking,4,4
CP501238,C103128,22-04-2025,Transaction Issue,8,4
CP501239,C100757,21-10-2025,Card Issue,4,5
CP501240,C103708,11-12-2025,Transaction Issue,6,5
CP501241,C101696,09-06-2026,Service,2,3
CP501242,C101853,29-11-2025,Card Issue,14,5
CP501243,C101899,28-05-2025,Loan Issue,7,3
CP501244,C104968,20-07-2025,App/Internet Banking,5,5
CP501245,C103874,08-11-2025,App/Internet Banking,11,4
CP501246,C104285,21-07-2025,Service,9,3
CP501247,C103653,23-09-2025,Transaction Issue,13,5
CP501248,C100202,07-01-2025,Loan Issue,5,4
CP501249,C101813,17-03-2026,Service,13,1
CP501250,C104692,15-04-2026,Service,7,4
CP501251,C102567,27-05-2026,App/Internet Banking,9,4
CP501252,C103870,26-11-2025,App/Internet Banking,7,4
CP501253,C103427,29-08-2025,Transaction Issue,9,5
CP501254,C103586,28-11-2025,Service,7,3
CP501255,C101283,04-03-2025,Card Issue,10,5
CP501256,C103335,12-09-2025,App/Internet Banking,3,5
CP501257,C103046,06-06-2026,Card Issue,4,1
CP501258,C100274,05-06-2025,Transaction Issue,4,4
CP501259,C104390,11-03-2026,Loan Issue,1,2
CP501260,C100679,09-07-2025,Fraud/Security,13,3
CP501261,C102026,19-02-2025,App/Internet Banking,12,5
CP501262,C104365,10-04-2026,Transaction Issue,15,5
CP501263,C103604,14-06-2026,App/Internet Banking,5,2
CP501264,C102873,28-10-2025,Card Issue,10,4
CP501265,C104327,31-01-2026,Transaction Issue,3,5
CP501266,C104948,02-04-2025,Transaction Issue,3,4
CP501267,C102672,13-05-2025,Transaction Issue,11,5
CP501268,C100444,07-02-2026,Service,2,1
CP501269,C103259,20-06-2026,Service,14,3
CP501270,C103065,07-06-2025,Service,8,4
CP501271,C102205,19-06-2026,Transaction Issue,2,1
CP501272,C100129,11-06-2026,Transaction Issue,13,2
CP501273,C100950,12-06-2026,Service,5,3
CP501274,C101882,05-05-2026,Transaction Issue,14,4
CP501275,C103440,05-03-2026,Transaction Issue,6,4
CP501276,C103609,10-10-2025,Card Issue,8,1
CP501277,C102434,15-03-2026,Card Issue,1,5
CP501278,C100097,04-05-2026,Fraud/Security,2,4
CP501279,C103703,19-04-2026,Card Issue,3,4
CP501280,C104807,01-01-2025,App/Internet Banking,2,4
CP501281,C101004,07-05-2026,App/Internet Banking,14,4
CP501282,C101233,05-08-2025,Service,8,5
CP501283,C102817,30-12-2025,Service,5,4
CP501284,C103195,28-08-2025,Loan Issue,12,2
CP501285,C101956,19-05-2026,Transaction Issue,15,2
CP501286,C100595,05-03-2026,Loan Issue,14,5
CP501287,C100728,06-07-2025,Card Issue,7,5
CP501288,C102314,02-02-2025,App/Internet Banking,3,4
CP501289,C103711,12-02-2025,Transaction Issue,11,5
CP501290,C100924,06-12-2025,Service,5,4
CP501291,C103131,15-11-2025,Loan Issue,7,4
CP501292,C100081,24-07-2025,Transaction Issue,4,3
CP501293,C101793,24-04-2025,App/Internet Banking,6,3
CP501294,C103834,19-10-2025,Service,12,4
CP501295,C102882,27-05-2026,App/Internet Banking,7,5
CP501296,C103026,13-06-2026,Transaction Issue,9,2
CP501297,C103830,30-06-2026,Transaction Issue,10,4
CP501298,C100571,11-07-2025,App/Internet Banking,4,1
CP501299,C104902,10-06-2026,Transaction Issue,14,4
CP501300,C104374,30-04-2026,Service,14,2
CP501301,C101863,05-12-2025,Service,14,3
CP501302,C100256,09-01-2026,Card Issue,5,4
CP501303,C101744,09-02-2025,Card Issue,9,2
CP501304,C100488,07-07-2025,Service,5,2
CP501305,C101879,02-08-2025,Loan Issue,14,1
CP501306,C104470,22-07-2025,Transaction Issue,10,2
CP501307,C102715,19-10-2025,Card Issue,8,4
CP501308,C101735,01-11-2025,Transaction Issue,12,4
CP501309,C104332,27-02-2025,Card Issue,7,1
CP501310,C101251,03-05-2025,Loan Issue,3,5
CP501311,C103159,13-04-2025,Service,8,2
CP501312,C104733,20-10-2025,App/Internet Banking,4,4
CP501313,C100824,25-08-2025,Loan Issue,7,2
CP501314,C104238,19-01-2026,Loan Issue,5,3
CP501315,C101688,16-12-2025,Service,1,4
CP501316,C100105,16-12-2025,Transaction Issue,5,5
CP501317,C102437,02-12-2025,Card Issue,12,4
CP501318,C102024,11-02-2026,Loan Issue,8,4
CP501319,C104238,18-03-2025,App/Internet Banking,6,3
CP501320,C104557,22-08-2025,Loan Issue,11,5
CP501321,C100874,22-09-2025,Service,5,2
CP501322,C104454,28-10-2025,App/Internet Banking,9,5
CP501323,C101730,22-05-2026,Fraud/Security,4,4
CP501324,C104078,22-11-2025,App/Internet Banking,14,3
CP501325,C104581,10-10-2025,App/Internet Banking,6,1
CP501326,C103722,07-03-2025,Transaction Issue,4,4
CP501327,C104274,22-12-2025,Transaction Issue,3,4
CP501328,C103848,25-02-2026,Service,3,3
CP501329,C101350,18-11-2025,Fraud/Security,5,4
CP501330,C103679,12-01-2025,Service,7,5
CP501331,C101423,13-07-2025,Transaction Issue,4,1
CP501332,C103471,01-10-2025,Fraud/Security,13,3
CP501333,C104166,23-06-2025,Transaction Issue,2,2
CP501334,C102355,30-09-2025,App/Internet Banking,4,4
CP501335,C103775,23-03-2025,Transaction Issue,13,5
CP501336,C104610,03-12-2025,Transaction Issue,14,4
CP501337,C100877,10-06-2025,App/Internet Banking,4,2
CP501338,C103386,21-07-2025,Transaction Issue,9,5
CP501339,C102181,27-10-2025,Card Issue,11,5
CP501340,C103840,03-04-2025,App/Internet Banking,9,5
CP501341,C103338,08-10-2025,Transaction Issue,9,5
CP501342,C101882,05-12-2025,Transaction Issue,3,4
CP501343,C104796,10-04-2025,Card Issue,14,5
CP501344,C103083,16-08-2025,Card Issue,7,3
CP501345,C104416,13-05-2026,Card Issue,11,1
CP501346,C103752,28-11-2025,Fraud/Security,10,5
CP501347,C103056,26-10-2025,Transaction Issue,6,1
CP501348,C103187,24-05-2025,Service,6,4
CP501349,C100952,02-02-2025,Loan Issue,1,2
CP501350,C103933,23-05-2025,Card Issue,11,5
CP501351,C102747,05-04-2026,App/Internet Banking,7,4
CP501352,C102836,07-10-2025,Transaction Issue,9,3
CP501353,C102653,30-12-2025,Transaction Issue,14,3
CP501354,C101605,02-01-2026,App/Internet Banking,9,4
CP501355,C104599,06-05-2025,Service,10,4
CP501356,C102522,22-04-2026,Service,14,4
CP501357,C101765,30-06-2026,Fraud/Security,8,1
CP501358,C100324,20-10-2025,Card Issue,3,5
CP501359,C100114,20-02-2025,Transaction Issue,2,4
CP501360,C103558,17-05-2025,Card Issue,9,5
CP501361,C103927,05-04-2025,Loan Issue,7,5
CP501362,C102634,15-06-2026,Loan Issue,13,3
CP501363,C102576,18-05-2026,Service,12,2
CP501364,C101245,22-05-2026,Loan Issue,13,3
CP501365,C100253,02-02-2026,Loan Issue,11,4
CP501366,C100942,26-03-2025,Transaction Issue,13,1
CP501367,C101533,05-01-2026,Fraud/Security,10,2
CP501368,C104389,24-05-2026,Transaction Issue,9,3
CP501369,C100206,14-03-2025,App/Internet Banking,3,5
CP501370,C101728,07-11-2025,Loan Issue,1,1
CP501371,C102807,16-02-2026,Loan Issue,7,5
CP501372,C103557,16-03-2026,Transaction Issue,12,5
CP501373,C103847,02-01-2026,Service,12,4
CP501374,C103492,19-03-2026,Transaction Issue,4,1
CP501375,C104745,07-02-2026,Transaction Issue,11,5
CP501376,C101898,07-08-2025,Card Issue,15,5
CP501377,C102576,03-02-2026,Transaction Issue,14,4
CP501378,C101509,26-09-2025,Loan Issue,6,1
CP501379,C102511,05-01-2025,Card Issue,5,3
CP501380,C104869,05-06-2026,Loan Issue,9,4
CP501381,C104097,01-09-2025,App/Internet Banking,1,5
CP501382,C104733,01-04-2025,Fraud/Security,7,2
CP501383,C103709,06-05-2025,App/Internet Banking,1,4
CP501384,C103557,29-10-2025,App/Internet Banking,13,4
CP501385,C101980,06-05-2025,App/Internet Banking,13,2
CP501386,C100184,14-06-2025,Service,6,4
CP501387,C104687,07-11-2025,Card Issue,14,5
CP501388,C100780,06-12-2025,Loan Issue,9,4
CP501389,C102466,27-08-2025,Service,3,4
CP501390,C104450,17-06-2026,Loan Issue,8,5
CP501391,C101428,10-05-2025,Service,13,4
CP501392,C104969,19-02-2025,Card Issue,11,4
CP501393,C100694,07-01-2026,App/Internet Banking,10,3
CP501394,C103727,19-03-2026,Loan Issue,4,2
CP501395,C102299,19-01-2025,Loan Issue,14,5
CP501396,C103886,13-04-2026,Transaction Issue,6,3
CP501397,C103483,04-11-2025,Card Issue,4,4
CP501398,C100748,10-09-2025,App/Internet Banking,8,5
CP501399,C102184,04-07-2025,Fraud/Security,14,5
CP501400,C101078,14-01-2026,Service,4,2
CP501401,C100015,22-05-2025,Service,4,4
CP501402,C104573,23-03-2026,Fraud/Security,3,2
CP501403,C104238,21-01-2026,Service,7,4
CP501404,C102870,10-05-2026,Transaction Issue,13,5
CP501405,C104545,25-08-2025,Service,13,5
CP501406,C103961,19-12-2025,Service,13,3
CP501407,C102709,24-05-2026,Card Issue,4,4
CP501408,C100328,15-02-2026,Card Issue,9,5
CP501409,C100975,26-04-2025,Transaction Issue,5,4
CP501410,C103037,14-04-2025,Transaction Issue,9,5
CP501411,C101234,17-03-2025,Service,11,4
CP501412,C102867,26-06-2025,Loan Issue,11,4
CP501413,C100282,28-06-2025,Card Issue,12,5
CP501414,C104390,31-10-2025,Transaction Issue,2,2
CP501415,C101986,31-08-2025,App/Internet Banking,9,3
CP501416,C101350,12-02-2025,Transaction Issue,13,4
CP501417,C104438,15-02-2025,Fraud/Security,14,5
CP501418,C102591,20-06-2026,Transaction Issue,2,5
CP501419,C104960,30-01-2026,Transaction Issue,12,4
CP501420,C104490,15-03-2025,Card Issue,5,2
CP501421,C101390,14-06-2026,Card Issue,4,5
CP501422,C103826,27-03-2026,Card Issue,13,4
CP501423,C104030,21-08-2025,Transaction Issue,14,4
CP501424,C101473,10-10-2025,Service,15,4
CP501425,C103155,07-09-2025,Transaction Issue,7,3
CP501426,C100999,27-12-2025,Card Issue,8,3
CP501427,C102901,10-01-2025,Card Issue,14,5
CP501428,C100974,01-08-2025,Fraud/Security,9,2
CP501429,C103834,20-07-2025,Fraud/Security,6,5
CP501430,C102406,29-01-2026,App/Internet Banking,5,5
CP501431,C103018,01-12-2025,Loan Issue,7,4
CP501432,C100347,07-03-2026,App/Internet Banking,9,4
CP501433,C100866,03-06-2025,App/Internet Banking,14,4
CP501434,C100988,18-06-2026,Transaction Issue,9,5
CP501435,C104377,25-11-2025,Transaction Issue,9,3
CP501436,C101375,28-04-2026,Card Issue,8,5
CP501437,C104989,08-05-2025,App/Internet Banking,11,4
CP501438,C101959,07-04-2026,Fraud/Security,6,4
CP501439,C100529,13-06-2025,Service,2,3
CP501440,C101029,03-02-2025,Card Issue,10,2
CP501441,C103786,15-06-2025,Service,8,4
CP501442,C102839,27-06-2025,Card Issue,5,4
CP501443,C101996,15-11-2025,App/Internet Banking,4,3
CP501444,C100242,09-04-2025,Transaction Issue,1,5
CP501445,C100990,21-05-2026,Service,3,3
CP501446,C101337,17-11-2025,Service,10,3
CP501447,C103569,02-03-2026,Card Issue,13,5
CP501448,C103087,05-05-2026,Loan Issue,8,1
CP501449,C100674,02-09-2025,Loan Issue,9,4
CP501450,C104468,13-05-2025,Card Issue,11,4
CP501451,C100592,03-12-2025,Card Issue,1,4
CP501452,C100858,10-06-2025,App/Internet Banking,1,4
CP501453,C104369,04-03-2025,Card Issue,10,5
CP501454,C100797,19-02-2026,App/Internet Banking,10,1
CP501455,C102826,10-12-2025,Transaction Issue,11,4
CP501456,C102874,22-05-2026,Loan Issue,11,3
CP501457,C100832,19-12-2025,Service,11,4
CP501458,C103953,07-06-2026,Service,5,3
CP501459,C104696,16-04-2025,Loan Issue,4,3
CP501460,C103455,22-02-2025,Transaction Issue,15,4
CP501461,C102019,26-04-2025,Card Issue,14,5
CP501462,C104179,24-12-2025,Loan Issue,13,4
CP501463,C104572,22-04-2026,Transaction Issue,13,3
CP501464,C103583,06-08-2025,App/Internet Banking,10,2
CP501465,C103052,25-06-2026,Card Issue,13,5
CP501466,C100858,26-02-2026,Service,7,2
CP501467,C102429,02-09-2025,Card Issue,1,2
CP501468,C100096,27-12-2025,Transaction Issue,12,5
CP501469,C100434,26-03-2025,App/Internet Banking,7,5
CP501470,C100072,26-10-2025,Fraud/Security,4,4
CP501471,C103167,24-11-2025,App/Internet Banking,6,5
CP501472,C100662,30-09-2025,App/Internet Banking,11,4
CP501473,C101717,13-04-2025,App/Internet Banking,6,5
CP501474,C101422,01-06-2026,Card Issue,11,4
CP501475,C102875,10-05-2026,Loan Issue,10,5
CP501476,C102777,31-01-2026,App/Internet Banking,12,3
CP501477,C103882,04-06-2025,Loan Issue,9,2
CP501478,C101426,17-06-2025,Service,10,5
CP501479,C103676,10-04-2025,Transaction Issue,6,4
CP501480,C104215,13-05-2025,Transaction Issue,2,4
CP501481,C100677,05-08-2025,Card Issue,4,2
CP501482,C100808,06-04-2026,App/Internet Banking,5,3
CP501483,C103377,24-01-2025,App/Internet Banking,5,3
CP501484,C100195,19-09-2025,Loan Issue,5,3
CP501485,C100409,05-12-2025,Loan Issue,5,3
CP501486,C104599,30-05-2025,Service,1,5
CP501487,C100164,04-09-2025,Service,6,4
CP501488,C103505,01-07-2025,Card Issue,2,2
CP501489,C104500,20-08-2025,App/Internet Banking,9,1
CP501490,C103299,15-08-2025,Service,11,4
CP501491,C100858,29-05-2025,Transaction Issue,4,5
CP501492,C102895,07-03-2026,Transaction Issue,9,2
CP501493,C102244,23-03-2026,App/Internet Banking,3,4
CP501494,C104305,05-06-2026,Loan Issue,9,1
CP501495,C101024,10-10-2025,App/Internet Banking,9,3
CP501496,C101274,02-04-2025,Transaction Issue,9,1
CP501497,C102624,12-05-2025,Transaction Issue,5,4
CP501498,C103709,14-03-2025,App/Internet Banking,2,4
CP501499,C100126,21-05-2025,Service,6,4
CP501500,C102293,14-12-2025,App/Internet Banking,4,3
CP501501,C104268,16-07-2025,App/Internet Banking,7,3
CP501502,C101590,31-03-2025,Card Issue,9,4
CP501503,C100626,10-07-2025,Service,11,5
CP501504,C101834,05-01-2026,Transaction Issue,6,3
CP501505,C100420,15-03-2026,App/Internet Banking,4,5
CP501506,C102913,08-10-2025,Transaction Issue,11,3
CP501507,C101899,13-03-2025,Service,11,4
CP501508,C101082,12-06-2026,Loan Issue,5,5
CP501509,C100620,09-01-2025,Transaction Issue,4,4
CP501510,C103060,13-03-2026,Card Issue,6,5
CP501511,C104010,21-02-2026,Fraud/Security,14,5
CP501512,C100065,03-06-2025,Fraud/Security,10,4
CP501513,C102689,02-01-2026,App/Internet Banking,7,4
CP501514,C102627,07-01-2026,Transaction Issue,2,2
CP501515,C100460,24-04-2025,Transaction Issue,4,3
CP501516,C104024,28-04-2025,Loan Issue,9,1
CP501517,C103750,29-06-2026,App/Internet Banking,5,1
CP501518,C103611,19-06-2025,App/Internet Banking,14,5
CP501519,C100111,13-10-2025,Transaction Issue,6,5
CP501520,C100497,15-12-2025,Service,7,1
CP501521,C104365,09-07-2025,Transaction Issue,13,5
CP501522,C103817,26-01-2025,App/Internet Banking,3,3
CP501523,C103803,17-06-2026,Loan Issue,14,3
CP501524,C100761,23-04-2026,Transaction Issue,4,1
CP501525,C102246,07-05-2025,Card Issue,4,3
CP501526,C102264,29-10-2025,Card Issue,12,4
CP501527,C100642,19-02-2026,Service,12,5
CP501528,C104795,26-05-2026,Transaction Issue,10,4
CP501529,C102903,18-12-2025,Transaction Issue,10,4
CP501530,C102980,15-03-2026,Service,11,5
CP501531,C100412,28-01-2025,Transaction Issue,1,3
CP501532,C102127,04-05-2025,Transaction Issue,5,5
CP501533,C103136,19-06-2025,Service,8,4
CP501534,C103575,08-12-2025,Service,11,5
CP501535,C104062,02-05-2025,App/Internet Banking,6,4
CP501536,C101715,15-08-2025,App/Internet Banking,11,4
CP501537,C104278,29-01-2026,App/Internet Banking,2,4
CP501538,C101547,28-12-2025,Card Issue,1,4
CP501539,C100009,05-02-2025,Loan Issue,14,3
CP501540,C102849,01-03-2025,Fraud/Security,9,4
CP501541,C101407,12-06-2025,Card Issue,13,4
CP501542,C100654,05-11-2025,Transaction Issue,2,3
CP501543,C101383,28-03-2026,Transaction Issue,9,4
CP501544,C102510,14-04-2025,Transaction Issue,15,5
CP501545,C100187,05-02-2026,Fraud/Security,11,4
CP501546,C100967,06-01-2026,Card Issue,1,3
CP501547,C101090,04-03-2026,Transaction Issue,11,5
CP501548,C104098,04-12-2025,Card Issue,4,4
CP501549,C103359,07-09-2025,Card Issue,13,5
